"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","AIR_VAL_YR","AIR_WGT_YR","CNT_VAL_YR","CNT_WGT_YR","CTY_CODE","CTY_NAME","PORT","PORT_NAME","E_COMMODITY","YEAR","COMM_LVL","time"
"2","571012374","8400642","2323817","1105850","-","TOTAL FOR ALL COUNTRIES","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"3","64039466","467768","166978","66225","0003","EUROPEAN UNION","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"4","229381754","1356354","365561","180546","0014","PACIFIC RIM COUNTRIES","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"5","50790068","545772","697102","500453","0017","CAFTA-DR","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"6","46466632","1620804","0","0","0020","USMCA (NAFTA)","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"7","117861651","2779317","1230518","687079","0021","TWENTY LATIN AMERICAN REPUBLICS","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"8","260894221","2859376","395338","166750","0022","OECD","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"9","87349757","970219","267241","72711","0023","NATO","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"10","56444046","2082833","338270","31873","0024","LAFTA","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"11","62811186","414955","166978","66225","0025","EURO AREA","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"12","305422508","3354623","452075","200536","0026","APEC","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"13","82987491","583695","35682","8435","0027","ASEAN","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"14","44368417","475376","371666","197974","0028","CACM","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"15","9888316","315892","0","0","1220","CANADA","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"16","46466632","1620804","0","0","1XXX","NORTH AMERICA","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"17","36578316","1304912","0","0","2010","MEXICO","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"18","16434202","160501","9877","4270","2050","GUATEMALA","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"19","1170760","192394","3280","211","2080","BELIZE","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"20","7496648","63985","43199","2437","2110","EL SALVADOR","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"21","8757715","117374","161508","136440","2150","HONDURAS","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"22","3321981","35239","6251","456","2190","NICARAGUA","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"23","8357871","98277","150831","54371","2230","COSTA RICA","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"24","10604812","149705","40578","18673","2250","PANAMA","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"25","100005","3002","90250","4000","2320","BERMUDA","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"26","88920","6026","88282","5694","2360","BAHAMAS","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
"27","1838754","63017","0","0","2410","JAMAICA","-","TOTAL FOR ALL PORTS","01","2024","HS2","2024-12"
