AIR_VAL_YR,AIR_WGT_YR,CNT_VAL_YR,CNT_WGT_YR,CTY_CODE,CTY_NAME,PORT_NAME,CTY_ISO3,PORT_LAT,PORT_LON
0,0,306150,154871,2010,MEXICO,"NEW YORK, NY",MEX,40.7,-74.0
0,0,2657373,357316,2050,GUATEMALA,"NEW YORK, NY",GTM,40.7,-74.0
0,0,273431,5156,2080,BELIZE,"NEW YORK, NY",BLZ,40.7,-74.0
0,0,1166320,45690,2110,EL SALVADOR,"NEW YORK, NY",SLV,40.7,-74.0
0,0,315583,49134,2150,HONDURAS,"NEW YORK, NY",HND,40.7,-74.0
0,0,605596,24520,2190,NICARAGUA,"NEW YORK, NY",NIC,40.7,-74.0
0,0,4345767,2242943,2230,COSTA RICA,"NEW YORK, NY",CRI,40.7,-74.0
0,0,168845,38141,2250,PANAMA,"NEW YORK, NY",PAN,40.7,-74.0
0,0,190432,4212,2320,BERMUDA,"NEW YORK, NY",BMU,40.7,-74.0
0,0,18077,157,2360,BAHAMAS,"NEW YORK, NY",BHS,40.7,-74.0
0,0,945010,388826,2410,JAMAICA,"NEW YORK, NY",JAM,40.7,-74.0
0,0,96359,55406,2450,HAITI,"NEW YORK, NY",HTI,40.7,-74.0
0,0,1934427,680882,2470,DOMINICAN REPUBLIC,"NEW YORK, NY",DOM,40.7,-74.0
0,0,31359,8577,2489,GRENADA,"NEW YORK, NY",GRD,40.7,-74.0
0,0,10886,3465,2720,BARBADOS,"NEW YORK, NY",BRB,40.7,-74.0
0,0,298909,67687,2740,TRINIDAD AND TOBAGO,"NEW YORK, NY",TTO,40.7,-74.0
0,0,9590,1287,2779,ARUBA,"NEW YORK, NY",ABW,40.7,-74.0
0,0,32659945,5653112,3010,COLOMBIA,"NEW YORK, NY",COL,40.7,-74.0
0,0,188026,38127,3070,VENEZUELA,"NEW YORK, NY",VEN,40.7,-74.0
0,0,75380,12390,3120,GUYANA,"NEW YORK, NY",GUY,40.7,-74.0
0,0,2447055,1999794,3310,ECUADOR,"NEW YORK, NY",ECU,40.7,-74.0
0,0,3100497,416580,3330,PERU,"NEW YORK, NY",PER,40.7,-74.0
0,0,4632780,443215,3370,CHILE,"NEW YORK, NY",CHL,40.7,-74.0
0,0,273041661,8792340,3510,BRAZIL,"NEW YORK, NY",BRA,40.7,-74.0
0,0,92705,4229,3530,PARAGUAY,"NEW YORK, NY",PRY,40.7,-74.0
0,0,2423873,187820,3550,URUGUAY,"NEW YORK, NY",URY,40.7,-74.0
0,0,10249916,1831894,3570,ARGENTINA,"NEW YORK, NY",ARG,40.7,-74.0
0,0,10296,625,4000,ICELAND,"NEW YORK, NY",ISL,40.7,-74.0
0,0,897520,51185,4010,SWEDEN,"NEW YORK, NY",SWE,40.7,-74.0
0,0,1197476,151270,4039,NORWAY,"NEW YORK, NY",NOR,40.7,-74.0
0,0,902961,83432,4050,FINLAND,"NEW YORK, NY",FIN,40.7,-74.0
0,0,4272121,127387,4099,DENMARK,"NEW YORK, NY",DNK,40.7,-74.0
0,0,14580206,1218980,4120,UNITED KINGDOM,"NEW YORK, NY",GBR,40.7,-74.0
0,0,17484398,1328560,4190,IRELAND,"NEW YORK, NY",IRL,40.7,-74.0
0,0,18468443,2632059,4210,NETHERLANDS,"NEW YORK, NY",NLD,40.7,-74.0
0,0,23917735,4001546,4231,BELGIUM,"NEW YORK, NY",BEL,40.7,-74.0
0,0,29516970,2176269,4279,FRANCE,"NEW YORK, NY",FRA,40.7,-74.0
0,0,50072396,4398308,4280,GERMANY,"NEW YORK, NY",DEU,40.7,-74.0
0,0,2791560,115168,4330,AUSTRIA,"NEW YORK, NY",AUT,40.7,-74.0
0,0,426975,31310,4351,CZECH REPUBLIC,"NEW YORK, NY",CZE,40.7,-74.0
0,0,190757,54623,4359,SLOVAKIA,"NEW YORK, NY",SVK,40.7,-74.0
0,0,1223619,52847,4370,HUNGARY,"NEW YORK, NY",HUN,40.7,-74.0
0,0,39420609,2162835,4419,SWITZERLAND,"NEW YORK, NY",CHE,40.7,-74.0
0,0,55519,1186,4490,LATVIA,"NEW YORK, NY",LVA,40.7,-74.0
0,0,465415,14905,4510,LITHUANIA,"NEW YORK, NY",LTU,40.7,-74.0
0,0,7048357,1298318,4550,POLAND,"NEW YORK, NY",POL,40.7,-74.0
0,0,32652,958,4621,RUSSIAN FEDERATION,"NEW YORK, NY",RUS,40.7,-74.0
0,0,139376,5591,4623,UKRAINE,"NEW YORK, NY",UKR,40.7,-74.0
0,0,88550,2810,4631,ARMENIA,"NEW YORK, NY",ARM,40.7,-74.0
0,0,8229,245,4632,AZERBAIJAN,"NEW YORK, NY",AZE,40.7,-74.0
0,0,160467,13680,4633,GEORGIA,"NEW YORK, NY",GEO,40.7,-74.0
0,0,106871,19811,4634,KAZAKHSTAN,"NEW YORK, NY",KAZ,40.7,-74.0
0,0,19541,648,4641,MOLDOVA,"NEW YORK, NY",MDA,40.7,-74.0
0,0,36192,1169,4644,UZBEKISTAN,"NEW YORK, NY",UZB,40.7,-74.0
0,0,4090155,1095704,4700,SPAIN,"NEW YORK, NY",ESP,40.7,-74.0
0,0,12868180,1804149,4759,ITALY,"NEW YORK, NY",ITA,40.7,-74.0
0,0,429577,16672,4791,CROATIA,"NEW YORK, NY",HRV,40.7,-74.0
0,0,179118,11490,4792,SLOVENIA,"NEW YORK, NY",SVN,40.7,-74.0
0,0,89748,13757,4801,SERBIA,"NEW YORK, NY",SRB,40.7,-74.0
0,0,31824,2727,4810,ALBANIA,"NEW YORK, NY",ALB,40.7,-74.0
0,0,401725,71969,4840,GREECE,"NEW YORK, NY",GRC,40.7,-74.0
0,0,38402,1518,4850,ROMANIA,"NEW YORK, NY",ROU,40.7,-74.0
0,0,153679,4933,4870,BULGARIA,"NEW YORK, NY",BGR,40.7,-74.0
0,0,6563953,672651,4890,Türkiye,"NEW YORK, NY",TUR,40.7,-74.0
0,0,356199,55303,5040,LEBANON,"NEW YORK, NY",LBN,40.7,-74.0
0,0,440590,25169,5050,IRAQ,"NEW YORK, NY",IRQ,40.7,-74.0
0,0,34319998,4610973,5081,ISRAEL,"NEW YORK, NY",ISR,40.7,-74.0
0,0,385162,81658,5110,JORDAN,"NEW YORK, NY",JOR,40.7,-74.0
0,0,911639,49689,5130,KUWAIT,"NEW YORK, NY",KWT,40.7,-74.0
0,0,15981092,870442,5170,SAUDI ARABIA,"NEW YORK, NY",SAU,40.7,-74.0
0,0,2663007,80117,5180,QATAR,"NEW YORK, NY",QAT,40.7,-74.0
0,0,4734055,849013,5200,UNITED ARAB EMIRATES,"NEW YORK, NY",ARE,40.7,-74.0
0,0,88627,5052,5230,OMAN,"NEW YORK, NY",OMN,40.7,-74.0
0,0,191216,9970,5250,BAHRAIN,"NEW YORK, NY",BHR,40.7,-74.0
0,0,1359637,69809,5310,AFGHANISTAN,"NEW YORK, NY",AFG,40.7,-74.0
0,0,43573108,4842887,5330,INDIA,"NEW YORK, NY",IND,40.7,-74.0
0,0,1950176,148105,5350,PAKISTAN,"NEW YORK, NY",PAK,40.7,-74.0
0,0,662138,32267,5380,BANGLADESH,"NEW YORK, NY",BGD,40.7,-74.0
0,0,181300,31782,5420,SRI LANKA,"NEW YORK, NY",LKA,40.7,-74.0
0,0,954695,39204,5460,MYANMAR,"NEW YORK, NY",MMR,40.7,-74.0
0,0,21632025,1295662,5490,THAILAND,"NEW YORK, NY",THA,40.7,-74.0
0,0,3220203,226942,5520,VIETNAM,"NEW YORK, NY",VNM,40.7,-74.0
0,0,4292479,324862,5570,MALAYSIA,"NEW YORK, NY",MYS,40.7,-74.0
0,0,37409648,4169891,5590,SINGAPORE,"NEW YORK, NY",SGP,40.7,-74.0
0,0,9200226,826874,5600,INDONESIA,"NEW YORK, NY",IDN,40.7,-74.0
0,0,34529,7835,5610,BRUNEI DARUSSALAM,"NEW YORK, NY",BRN,40.7,-74.0
0,0,1239972,290117,5650,PHILIPPINES,"NEW YORK, NY",PHL,40.7,-74.0
0,0,2705,455,5683,MALDIVES,"NEW YORK, NY",MDV,40.7,-74.0
0,0,49277989,7917127,5700,CHINA,"NEW YORK, NY",CHN,40.7,-74.0
0,0,50685774,3264943,5800,"KOREA, REPUBLIC OF","NEW YORK, NY",KOR,40.7,-74.0
0,0,2839652,426837,5820,HONG KONG,"NEW YORK, NY",HKG,40.7,-74.0
0,0,24987853,939033,5830,TAIWAN,"NEW YORK, NY",TWN,40.7,-74.0
0,0,18987675,6305423,5880,JAPAN,"NEW YORK, NY",JPN,40.7,-74.0
0,0,4423042,1046167,6021,AUSTRALIA,"NEW YORK, NY",AUS,40.7,-74.0
0,0,333438,126056,6141,NEW ZEALAND,"NEW YORK, NY",NZL,40.7,-74.0
0,0,160416,5818,7140,MOROCCO,"NEW YORK, NY",MAR,40.7,-74.0
0,0,38486,3072,7210,ALGERIA,"NEW YORK, NY",DZA,40.7,-74.0
0,0,120733,13895,7230,TUNISIA,"NEW YORK, NY",TUN,40.7,-74.0
0,0,439942,38698,7250,LIBYA,"NEW YORK, NY",LBY,40.7,-74.0
0,0,4285180,360866,7290,EGYPT,"NEW YORK, NY",EGY,40.7,-74.0
0,0,14133,3401,7440,SENEGAL,"NEW YORK, NY",SEN,40.7,-74.0
0,0,288159,19371,7490,GHANA,"NEW YORK, NY",GHA,40.7,-74.0
0,0,1151554,62664,7530,NIGERIA,"NEW YORK, NY",NGA,40.7,-74.0
0,0,537500,5000,7690,RWANDA,"NEW YORK, NY",RWA,40.7,-74.0
0,0,171828,16755,7700,SOMALIA,"NEW YORK, NY",SOM,40.7,-74.0
0,0,4500,1609,7770,DJIBOUTI,"NEW YORK, NY",DJI,40.7,-74.0
0,0,386368,7472,7780,UGANDA,"NEW YORK, NY",UGA,40.7,-74.0
0,0,207945,20246,7790,KENYA,"NEW YORK, NY",KEN,40.7,-74.0
0,0,16825,610,7800,SEYCHELLES,"NEW YORK, NY",SYC,40.7,-74.0
0,0,8536,256,7850,MAURITIUS,"NEW YORK, NY",MUS,40.7,-74.0
0,0,430150,24111,7880,MADAGASCAR,"NEW YORK, NY",MDG,40.7,-74.0
0,0,211712,80011,7950,ESWATINI,"NEW YORK, NY",SWZ,40.7,-74.0
0,0,435910,24223,7970,MALAWI,"NEW YORK, NY",MWI,40.7,-74.0
69445,2572,12345,20000,2010,MEXICO,"NEWARK, NJ",MEX,40.7,-74.16
0,0,166147,134313,2050,GUATEMALA,"NEWARK, NJ",GTM,40.7,-74.16
0,0,95919,13512,2110,EL SALVADOR,"NEWARK, NJ",SLV,40.7,-74.16
0,0,117204,12625,2150,HONDURAS,"NEWARK, NJ",HND,40.7,-74.16
0,0,2183141,130643,2230,COSTA RICA,"NEWARK, NJ",CRI,40.7,-74.16
0,0,39817,20743,2250,PANAMA,"NEWARK, NJ",PAN,40.7,-74.16
0,0,154351,9556,2320,BERMUDA,"NEWARK, NJ",BMU,40.7,-74.16
3600,1,360886,145944,2470,DOMINICAN REPUBLIC,"NEWARK, NJ",DOM,40.7,-74.16
0,0,28932,16718,2740,TRINIDAD AND TOBAGO,"NEWARK, NJ",TTO,40.7,-74.16
183624,11307,11280798,1625459,3010,COLOMBIA,"NEWARK, NJ",COL,40.7,-74.16
0,0,200894,47623,3070,VENEZUELA,"NEWARK, NJ",VEN,40.7,-74.16
0,0,95968,36306,3310,ECUADOR,"NEWARK, NJ",ECU,40.7,-74.16
22636,382,1428664,179234,3330,PERU,"NEWARK, NJ",PER,40.7,-74.16
49518,406,838035,126549,3370,CHILE,"NEWARK, NJ",CHL,40.7,-74.16
1289752,69746,18539415,3035277,3510,BRAZIL,"NEWARK, NJ",BRA,40.7,-74.16
0,0,14490,15271,3530,PARAGUAY,"NEWARK, NJ",PRY,40.7,-74.16
88179,1906,35816,15241,3550,URUGUAY,"NEWARK, NJ",URY,40.7,-74.16
30975,35,2189640,317955,3570,ARGENTINA,"NEWARK, NJ",ARG,40.7,-74.16
7024,128,0,0,4000,ICELAND,"NEWARK, NJ",ISL,40.7,-74.16
1640358,13262,283358,140370,4010,SWEDEN,"NEWARK, NJ",SWE,40.7,-74.16
379335,10194,48988,847,4039,NORWAY,"NEWARK, NJ",NOR,40.7,-74.16
133292,3,20665,1337,4050,FINLAND,"NEWARK, NJ",FIN,40.7,-74.16
27349375,5679,79347,2925,4099,DENMARK,"NEWARK, NJ",DNK,40.7,-74.16
7749725,315840,7652086,950313,4120,UNITED KINGDOM,"NEWARK, NJ",GBR,40.7,-74.16
3172888,25111,7181743,1010148,4190,IRELAND,"NEWARK, NJ",IRL,40.7,-74.16
1744485,55613,15787940,2645993,4210,NETHERLANDS,"NEWARK, NJ",NLD,40.7,-74.16
19081980,81642,19056942,5371437,4231,BELGIUM,"NEWARK, NJ",BEL,40.7,-74.16
3789,63,0,0,4271,ANDORRA,"NEWARK, NJ",AND,40.7,-74.16
5199027,34233,8346249,1443198,4279,FRANCE,"NEWARK, NJ",FRA,40.7,-74.16
22606394,166490,14861815,3983958,4280,GERMANY,"NEWARK, NJ",DEU,40.7,-74.16
1099201,11386,0,0,4330,AUSTRIA,"NEWARK, NJ",AUT,40.7,-74.16
290382,10388,0,0,4351,CZECH REPUBLIC,"NEWARK, NJ",CZE,40.7,-74.16
3576,1,0,0,4359,SLOVAKIA,"NEWARK, NJ",SVK,40.7,-74.16
32086,4669,213131,14857,4370,HUNGARY,"NEWARK, NJ",HUN,40.7,-74.16
26322767,52431,1238059,22179,4419,SWITZERLAND,"NEWARK, NJ",CHE,40.7,-74.16
4228,10255,43504,868,4490,LATVIA,"NEWARK, NJ",LVA,40.7,-74.16
4290,26,9000,315,4510,LITHUANIA,"NEWARK, NJ",LTU,40.7,-74.16
572447,22411,682620,62542,4550,POLAND,"NEWARK, NJ",POL,40.7,-74.16
866851,54036,0,0,4621,RUSSIAN FEDERATION,"NEWARK, NJ",RUS,40.7,-74.16
11338,451,206921,7378,4623,UKRAINE,"NEWARK, NJ",UKR,40.7,-74.16
0,0,4794,1109,4632,AZERBAIJAN,"NEWARK, NJ",AZE,40.7,-74.16
0,0,37041,778,4633,GEORGIA,"NEWARK, NJ",GEO,40.7,-74.16
11236,1,0,0,4634,KAZAKHSTAN,"NEWARK, NJ",KAZ,40.7,-74.16
9559153,72254,1736700,188918,4700,SPAIN,"NEWARK, NJ",ESP,40.7,-74.16
170532,1583,0,0,4710,PORTUGAL,"NEWARK, NJ",PRT,40.7,-74.16
251790,4,0,0,4730,MALTA,"NEWARK, NJ",MLT,40.7,-74.16
10095982,108148,2366496,870710,4759,ITALY,"NEWARK, NJ",ITA,40.7,-74.16
12413,1,0,0,4791,CROATIA,"NEWARK, NJ",HRV,40.7,-74.16
70243,5302,39853,3117,4792,SLOVENIA,"NEWARK, NJ",SVN,40.7,-74.16
0,0,13492,120,4794,NORTH MACEDONIA,"NEWARK, NJ",MKD,40.7,-74.16
9029,1002,32064,2573,4801,SERBIA,"NEWARK, NJ",SRB,40.7,-74.16
0,0,0,0,4803,KOSOVO,"NEWARK, NJ",,40.7,-74.16
35360,772,0,0,4810,ALBANIA,"NEWARK, NJ",ALB,40.7,-74.16
24500,70,87654,2617,4840,GREECE,"NEWARK, NJ",GRC,40.7,-74.16
2647,24,80784,2949,4870,BULGARIA,"NEWARK, NJ",BGR,40.7,-74.16
710112,85035,595709,60667,4890,Türkiye,"NEWARK, NJ",TUR,40.7,-74.16
0,0,307120,18006,5050,IRAQ,"NEWARK, NJ",IRQ,40.7,-74.16
1054666,9330,3351674,86100,5081,ISRAEL,"NEWARK, NJ",ISR,40.7,-74.16
0,0,38561,7058,5130,KUWAIT,"NEWARK, NJ",KWT,40.7,-74.16
72107,8410,1834694,106277,5170,SAUDI ARABIA,"NEWARK, NJ",SAU,40.7,-74.16
0,0,77361,17782,5180,QATAR,"NEWARK, NJ",QAT,40.7,-74.16
505819,16825,3602834,347989,5200,UNITED ARAB EMIRATES,"NEWARK, NJ",ARE,40.7,-74.16
43350,1978,8411,363,5230,OMAN,"NEWARK, NJ",OMN,40.7,-74.16
0,0,2809,388,5250,BAHRAIN,"NEWARK, NJ",BHR,40.7,-74.16
2612307,51490,11717455,1546276,5330,INDIA,"NEWARK, NJ",IND,40.7,-74.16
36375,0,181144,39879,5350,PAKISTAN,"NEWARK, NJ",PAK,40.7,-74.16
0,0,377030,94800,5380,BANGLADESH,"NEWARK, NJ",BGD,40.7,-74.16
2550,640,26541,1433,5420,SRI LANKA,"NEWARK, NJ",LKA,40.7,-74.16
0,0,0,0,5460,MYANMAR,"NEWARK, NJ",MMR,40.7,-74.16
339746,2803,2330085,259316,5490,THAILAND,"NEWARK, NJ",THA,40.7,-74.16
9160,271,2790499,429563,5520,VIETNAM,"NEWARK, NJ",VNM,40.7,-74.16
10927,175,1060887,223530,5570,MALAYSIA,"NEWARK, NJ",MYS,40.7,-74.16
28196255,11482,2535579,797156,5590,SINGAPORE,"NEWARK, NJ",SGP,40.7,-74.16
460777,23106,2138107,583701,5600,INDONESIA,"NEWARK, NJ",IDN,40.7,-74.16
58770,1051,16233216,3029239,5650,PHILIPPINES,"NEWARK, NJ",PHL,40.7,-74.16
3689040,26495,7206680,1047436,5700,CHINA,"NEWARK, NJ",CHN,40.7,-74.16
56522,1648,0,0,5740,MONGOLIA,"NEWARK, NJ",MNG,40.7,-74.16
985788,3962,4250650,328278,5800,"KOREA, REPUBLIC OF","NEWARK, NJ",KOR,40.7,-74.16
163902,3441,58612,20484,5820,HONG KONG,"NEWARK, NJ",HKG,40.7,-74.16
71847,3815,650339,50818,5830,TAIWAN,"NEWARK, NJ",TWN,40.7,-74.16
51413398,50681,3187942,469441,5880,JAPAN,"NEWARK, NJ",JPN,40.7,-74.16
126057,1343,856955,140344,6021,AUSTRALIA,"NEWARK, NJ",AUS,40.7,-74.16
123410,997,9538,233,6141,NEW ZEALAND,"NEWARK, NJ",NZL,40.7,-74.16
2545,1,0,0,7140,MOROCCO,"NEWARK, NJ",MAR,40.7,-74.16
0,0,64758,17327,7230,TUNISIA,"NEWARK, NJ",TUN,40.7,-74.16
572454,14339,437421,23031,7290,EGYPT,"NEWARK, NJ",EGY,40.7,-74.16
0,0,7956,401,7749,ETHIOPIA,"NEWARK, NJ",ETH,40.7,-74.16
0,0,14077,311,7790,KENYA,"NEWARK, NJ",KEN,40.7,-74.16
0,0,47315,1441,7850,MAURITIUS,"NEWARK, NJ",MUS,40.7,-74.16
4435,56,0,0,7950,ESWATINI,"NEWARK, NJ",SWZ,40.7,-74.16
