"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","AIR_VAL_YR","AIR_WGT_YR","CNT_VAL_YR","CNT_WGT_YR","CTY_CODE","CTY_NAME","PORT","PORT_NAME","E_COMMODITY","YEAR","COMM_LVL","time"
"2","0","0","1298807","222697","-","TOTAL FOR ALL COUNTRIES","1001","NEW YORK, NY","52","2024","HS2","2024-12"
"3","0","0","3341","1211","2110","EL SALVADOR","1001","NEW YORK, NY","52","2024","HS2","2024-12"
"4","0","0","33037","1460","2470","DOMINICAN REPUBLIC","1001","NEW YORK, NY","52","2024","HS2","2024-12"
"5","0","0","2540","985","3120","GUYANA","1001","NEW YORK, NY","52","2024","HS2","2024-12"
"6","0","0","11224","1190","3330","PERU","1001","NEW YORK, NY","52","2024","HS2","2024-12"
"7","0","0","120612","4450","4099","DENMARK","1001","NEW YORK, NY","52","2024","HS2","2024-12"
"8","0","0","56182","16292","4120","UNITED KINGDOM","1001","NEW YORK, NY","52","2024","HS2","2024-12"
"9","0","0","198165","79508","4210","NETHERLANDS","1001","NEW YORK, NY","52","2024","HS2","2024-12"
"10","0","0","0","0","4231","BELGIUM","1001","NEW YORK, NY","52","2024","HS2","2024-12"
"11","0","0","24595","1033","4280","GERMANY","1001","NEW YORK, NY","52","2024","HS2","2024-12"
"12","0","0","139066","5620","4470","ESTONIA","1001","NEW YORK, NY","52","2024","HS2","2024-12"
"13","0","0","2848","289","4550","POLAND","1001","NEW YORK, NY","52","2024","HS2","2024-12"
"14","0","0","9072","311","4700","SPAIN","1001","NEW YORK, NY","52","2024","HS2","2024-12"
"15","0","0","37473","2511","4759","ITALY","1001","NEW YORK, NY","52","2024","HS2","2024-12"
"16","0","0","5000","2790","4810","ALBANIA","1001","NEW YORK, NY","52","2024","HS2","2024-12"
"17","0","0","107147","42738","5081","ISRAEL","1001","NEW YORK, NY","52","2024","HS2","2024-12"
