"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","AIR_VAL_YR","AIR_WGT_YR","CNT_VAL_YR","CNT_WGT_YR","CTY_CODE","CTY_NAME","PORT","PORT_NAME","I_COMMODITY","YEAR","COMM_LVL","time"
"2","0","0","8850860","1632348","-","TOTAL FOR ALL COUNTRIES","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"3","0","0","320445","6161","4010","SWEDEN","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"4","0","0","204923","10739","4120","UNITED KINGDOM","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"5","0","0","52000","35555","4210","NETHERLANDS","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"6","0","0","163549","2844","4279","FRANCE","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"7","0","0","2769750","114136","4280","GERMANY","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"8","0","0","2163","83","4330","AUSTRIA","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"9","0","0","33744","2880","4351","CZECH REPUBLIC","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"10","0","0","42843","509","4419","SWITZERLAND","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"11","0","0","117221","8090","4550","POLAND","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"12","0","0","70200","39024","4623","UKRAINE","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"13","0","0","560011","119326","4759","ITALY","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"14","0","0","3300","290","5200","UNITED ARAB EMIRATES","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"15","0","0","1457959","305873","5330","INDIA","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"16","0","0","8490","213","5600","INDONESIA","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"17","0","0","1663496","502514","5700","CHINA","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"18","0","0","38965","15290","5800","KOREA, SOUTH","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"19","0","0","1168258","454972","5880","JAPAN","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"20","0","0","173543","13849","6021","AUSTRALIA","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"21","0","0","4018883","289075","0003","EUROPEAN UNION","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"22","0","0","5647415","784434","0022","OECD","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"23","0","0","4221643","299731","0023","NATO","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"24","0","0","3547473","271944","0025","EURO AREA","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"25","0","0","3052752","986838","0026","APEC","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"26","0","0","8490","213","0027","ASEAN","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"27","0","0","4336849","339347","4XXX","EUROPE","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"28","0","0","4340468","1279152","5XXX","ASIA","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"29","0","0","3052752","986838","0014","PACIFIC RIM COUNTRIES","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"30","0","0","173543","13849","6XXX","AUSTRALIA AND OCEANIA","1001","NEW YORK, NY","86","2024","HS2","2024-12"
"31","0","0","0","0","-","TOTAL FOR ALL COUNTRIES","1002","ALBANY, NY","86","2024","HS2","2024-12"
"32","0","0","0","0","1220","CANADA","1002","ALBANY, NY","86","2024","HS2","2024-12"
"33","0","0","0","0","4279","FRANCE","1002","ALBANY, NY","86","2024","HS2","2024-12"
"34","0","0","0","0","0003","EUROPEAN UNION","1002","ALBANY, NY","86","2024","HS2","2024-12"
