"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","AIR_VAL_YR","AIR_WGT_YR","CNT_VAL_YR","CNT_WGT_YR","CTY_CODE","CTY_NAME","PORT","PORT_NAME","E_COMMODITY","YEAR","COMM_LVL","time"
"2","0","0","0","0","-","TOTAL FOR ALL COUNTRIES","3013","FERRY, WA","34","2024","HS2","2024-12"
"3","0","0","0","0","1220","CANADA","3013","FERRY, WA","34","2024","HS2","2024-12"
"4","0","0","0","0","0020","USMCA (NAFTA)","3013","FERRY, WA","34","2024","HS2","2024-12"
"5","0","0","0","0","0022","OECD","3013","FERRY, WA","34","2024","HS2","2024-12"
"6","0","0","0","0","0023","NATO","3013","FERRY, WA","34","2024","HS2","2024-12"
"7","0","0","0","0","0026","APEC","3013","FERRY, WA","34","2024","HS2","2024-12"
"8","0","0","0","0","1XXX","NORTH AMERICA","3013","FERRY, WA","34","2024","HS2","2024-12"
"9","0","0","679208343","107229087","-","TOTAL FOR ALL COUNTRIES","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"10","0","0","1066458","161695","2010","MEXICO","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"11","0","0","1533110","212168","2050","GUATEMALA","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"12","0","0","35743","7650","2080","BELIZE","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"13","0","0","273060","51243","2110","EL SALVADOR","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"14","0","0","368898","80919","2150","HONDURAS","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"15","0","0","11394","2205","2190","NICARAGUA","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"16","0","0","1462173","299095","2230","COSTA RICA","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"17","0","0","1343498","311830","2250","PANAMA","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"18","0","0","1025099","349071","2320","BERMUDA","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"19","0","0","49926","14261","2360","BAHAMAS","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"20","0","0","1063541","240855","2410","JAMAICA","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"21","0","0","1955916","739632","2470","DOMINICAN REPUBLIC","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"22","0","0","95553","22308","2487","ST LUCIA","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"23","0","0","5622","4022","2488","ST VINCENT AND THE GRENADINES","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"24","0","0","93951","28366","2489","GRENADA","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"25","0","0","390566","126794","2720","BARBADOS","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"26","0","0","1874620","486190","2740","TRINIDAD AND TOBAGO","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"27","0","0","20957","3664","2777","CURACAO","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"28","0","0","200343","22663","2779","ARUBA","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"29","0","0","11046749","2793114","3010","COLOMBIA","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"30","0","0","1027900","195418","3070","VENEZUELA","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"31","0","0","467621","173231","3120","GUYANA","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"32","0","0","0","0","3150","SURINAME","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"33","0","0","1192852","401152","3310","ECUADOR","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"34","0","0","1569221","412627","3330","PERU","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"35","0","0","6496611","1215697","3370","CHILE","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"36","0","0","28835654","5896813","3510","BRAZIL","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"37","0","0","19084","502","3530","PARAGUAY","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"38","0","0","384219","164906","3550","URUGUAY","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"39","0","0","4745443","1018422","3570","ARGENTINA","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"40","0","0","20072","5598","4000","ICELAND","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"41","0","0","4145236","214335","4010","SWEDEN","1001","NEW YORK, NY","34","2024","HS2","2024-12"
"42","0","0","565344","83154","4039","NORWAY","1001","NEW YORK, NY","34","2024","HS2","2024-12"
